ROK;NAROZENI;OKRES;KRAJ;ID_KRAJ
2002;9690;Hlavní město Praha ;Praha;CZ010
2002;839;Benešov;Středočeský;CZ020
2002;678;Beroun;Středočeský;CZ020
2002;1418;Kladno;Středočeský;CZ020
2002;902;Kolín;Středočeský;CZ020
2002;588;Kutná Hora;Středočeský;CZ020
2002;984;Mělník;Středočeský;CZ020
2002;1076;Mladá Boleslav;Středočeský;CZ020
2002;814;Nymburk;Středočeský;CZ020
2002;901;Praha-východ;Středočeský;CZ020
2002;852;Praha-západ;Středočeský;CZ020
2002;960;Příbram;Středočeský;CZ020
2002;471;Rakovník;Středočeský;CZ020
2002;1626;České Budějovice;Jihočeský;CZ031
2002;631;Český Krumlov;Jihočeský;CZ031
2002;838;Jindřichův Hradec;Jihočeský;CZ031
2002;637;Písek;Jihočeský;CZ031
2002;497;Prachatice;Jihočeský;CZ031
2002;624;Strakonice;Jihočeský;CZ031
2002;880;Tábor;Jihočeský;CZ031
2002;532;Domažlice;Plzeňský;CZ032
2002;796;Klatovy;Plzeňský;CZ032
2002;1446;Plzeň-město;Plzeňský;CZ032
2002;615;Plzeň-jih;Plzeňský;CZ032
2002;645;Plzeň-sever;Plzeňský;CZ032
2002;376;Rokycany;Plzeňský;CZ032
2002;476;Tachov;Plzeňský;CZ032
2002;901;Cheb;Karlovarský;CZ041
2002;1093;Karlovy Vary;Karlovarský;CZ041
2002;955;Sokolov;Karlovarský;CZ041
2002;1356;Děčín;Ústecký;CZ042
2002;1280;Chomutov;Ústecký;CZ042
2002;1059;Litoměřice;Ústecký;CZ042
2002;843;Louny;Ústecký;CZ042
2002;1160;Most;Ústecký;CZ042
2002;1230;Teplice;Ústecký;CZ042
2002;1258;Ústí nad Labem;Ústecký;CZ042
2002;1078;Česká Lípa;Liberecký;CZ051
2002;846;Jablonec nad Nisou;Liberecký;CZ051
2002;1535;Liberec ;Liberecký;CZ051
2002;673;Semily;Liberecký;CZ051
2002;1367;Hradec Králové;Královéhradecký;CZ052
2002;699;Jičín;Královéhradecký;CZ052
2002;1058;Náchod;Královéhradecký;CZ052
2002;747;Rychnov nad Kněžnou;Královéhradecký;CZ052
2002;1075;Trutnov;Královéhradecký;CZ052
2002;929;Chrudim;Pardubický;CZ053
2002;1376;Pardubice;Pardubický;CZ053
2002;964;Svitavy;Pardubický;CZ053
2002;1384;Ústí nad Orlicí;Pardubický;CZ053
2002;866;Havlíčkův Brod;Kraj Vysočina;CZ061
2002;1013;Jihlava;Kraj Vysočina;CZ061
2002;644;Pelhřimov;Kraj Vysočina;CZ061
2002;1018;Třebíč;Kraj Vysočina;CZ061
2002;1214;Žďár nad Sázavou;Kraj Vysočina;CZ061
2002;943;Blansko;Jihomoravský;CZ062
2002;3427;Brno-město;Jihomoravský;CZ062
2002;1467;Brno-venkov;Jihomoravský;CZ062
2002;1005;Břeclav;Jihomoravský;CZ062
2002;1404;Hodonín;Jihomoravský;CZ062
2002;809;Vyškov;Jihomoravský;CZ062
2002;1012;Znojmo;Jihomoravský;CZ062
2002;378;Jeseník;Olomoucký;CZ071
2002;1990;Olomouc;Olomoucký;CZ071
2002;971;Prostějov;Olomoucký;CZ071
2002;1201;Přerov;Olomoucký;CZ071
2002;1127;Šumperk;Olomoucký;CZ071
2002;889;Kroměříž;Zlínský;CZ072
2002;1253;Uherské Hradiště;Zlínský;CZ072
2002;1318;Vsetín;Zlínský;CZ072
2002;1735;Zlín;Zlínský;CZ072
2002;1007;Bruntál;Moravskoslezský;CZ080
2002;2013;Frýdek-Místek;Moravskoslezský;CZ080
2002;2445;Karviná;Moravskoslezský;CZ080
2002;1493;Nový Jičín;Moravskoslezský;CZ080
2002;1626;Opava;Moravskoslezský;CZ080
2002;2860;Ostrava-město;Moravskoslezský;CZ080
