"ROK","NAROZENI","OKRES","KRAJ","ID_KRAJ","ROK_JPZ"
"2003","1293","Teplice","Ústecký","CZ042",2018
"2003","1318","Ústí nad Labem","Ústecký","CZ042",2018
"2003","1084","Česká Lípa","Liberecký","CZ051",2018
"2003","827","Jablonec nad Nisou","Liberecký","CZ051",2018
"2003","1494","Liberec ","Liberecký","CZ051",2018
"2003","640","Semily","Liberecký","CZ051",2018
"2003","1370","Hradec Králové","Královéhradecký","CZ052",2018
"2003","689","Jičín","Královéhradecký","CZ052",2018
"2003","1076","Náchod","Královéhradecký","CZ052",2018
"2003","827","Rychnov nad Kněžnou","Královéhradecký","CZ052",2018
"2003","1131","Trutnov","Královéhradecký","CZ052",2018
"2003","951","Chrudim","Pardubický","CZ053",2018
"2003","1404","Pardubice","Pardubický","CZ053",2018
"2003","960","Svitavy","Pardubický","CZ053",2018
"2003","1330","Ústí nad Orlicí","Pardubický","CZ053",2018
"2003","839","Havlíčkův Brod","Kraj Vysočina","CZ061",2018
"2003","1012","Jihlava","Kraj Vysočina","CZ061",2018
"2003","638","Pelhřimov","Kraj Vysočina","CZ061",2018
"2003","1122","Třebíč","Kraj Vysočina","CZ061",2018
"2003","1164","Žďár nad Sázavou","Kraj Vysočina","CZ061",2018
"2003","974","Blansko","Jihomoravský","CZ062",2018
"2003","3367","Brno-město","Jihomoravský","CZ062",2018
"2003","1498","Brno-venkov","Jihomoravský","CZ062",2018
"2003","1034","Břeclav","Jihomoravský","CZ062",2018
"2003","1281","Hodonín","Jihomoravský","CZ062",2018
"2003","771","Vyškov","Jihomoravský","CZ062",2018
"2003","1082","Znojmo","Jihomoravský","CZ062",2018
"2003","375","Jeseník","Olomoucký","CZ071",2018
"2003","2091","Olomouc","Olomoucký","CZ071",2018
"2003","1001","Prostějov","Olomoucký","CZ071",2018
"2003","1212","Přerov","Olomoucký","CZ071",2018
"2003","1151","Šumperk","Olomoucký","CZ071",2018
"2003","878","Kroměříž","Zlínský","CZ072",2018
"2003","1263","Uherské Hradiště","Zlínský","CZ072",2018
"2003","1291","Vsetín","Zlínský","CZ072",2018
"2003","1715","Zlín","Zlínský","CZ072",2018
"2003","951","Bruntál","Moravskoslezský","CZ080",2018
"2003","2054","Frýdek-Místek","Moravskoslezský","CZ080",2018
"2003","2360","Karviná","Moravskoslezský","CZ080",2018
"2003","1527","Nový Jičín","Moravskoslezský","CZ080",2018
"2003","1650","Opava","Moravskoslezský","CZ080",2018
"2003","3010","Ostrava-město","Moravskoslezský","CZ080",2018
"2004","11131","Hlavní město Praha ","Praha","CZ010",2019
"2004","861","Benešov","Středočeský","CZ020",2019
"2004","755","Beroun","Středočeský","CZ020",2019
"2004","1491","Kladno","Středočeský","CZ020",2019
"2004","910","Kolín","Středočeský","CZ020",2019
"2004","624","Kutná Hora","Středočeský","CZ020",2019
"2004","1036","Mělník","Středočeský","CZ020",2019
"2004","1138","Mladá Boleslav","Středočeský","CZ020",2019
"2004","883","Nymburk","Středočeský","CZ020",2019
"2004","1075","Praha-východ","Středočeský","CZ020",2019
"2004","1002","Praha-západ","Středočeský","CZ020",2019
"2004","1023","Příbram","Středočeský","CZ020",2019
"2004","491","Rakovník","Středočeský","CZ020",2019
"2004","1721","České Budějovice","Jihočeský","CZ031",2019
"2004","613","Český Krumlov","Jihočeský","CZ031",2019
"2004","841","Jindřichův Hradec","Jihočeský","CZ031",2019
"2004","576","Písek","Jihočeský","CZ031",2019
"2004","537","Prachatice","Jihočeský","CZ031",2019
"2004","695","Strakonice","Jihočeský","CZ031",2019
"2004","958","Tábor","Jihočeský","CZ031",2019
"2004","533","Domažlice","Plzeňský","CZ032",2019
"2004","825","Klatovy","Plzeňský","CZ032",2019
"2004","1504","Plzeň-město","Plzeňský","CZ032",2019
"2004","608","Plzeň-jih","Plzeňský","CZ032",2019
"2004","721","Plzeň-sever","Plzeňský","CZ032",2019
"2004","372","Rokycany","Plzeňský","CZ032",2019
"2004","483","Tachov","Plzeňský","CZ032",2019
"2004","858","Cheb","Karlovarský","CZ041",2019
"2004","1128","Karlovy Vary","Karlovarský","CZ041",2019
"2004","917","Sokolov","Karlovarský","CZ041",2019
"2004","1338","Děčín","Ústecký","CZ042",2019
"2004","1281","Chomutov","Ústecký","CZ042",2019
"2004","1183","Litoměřice","Ústecký","CZ042",2019
"2004","892","Louny","Ústecký","CZ042",2019
"2004","1231","Most","Ústecký","CZ042",2019
"2004","1376","Teplice","Ústecký","CZ042",2019
"2004","1300","Ústí nad Labem","Ústecký","CZ042",2019
"2004","1100","Česká Lípa","Liberecký","CZ051",2019
"2004","874","Jablonec nad Nisou","Liberecký","CZ051",2019
"2004","1636","Liberec ","Liberecký","CZ051",2019
"2004","702","Semily","Liberecký","CZ051",2019
"2004","1481","Hradec Králové","Královéhradecký","CZ052",2019
"2004","709","Jičín","Královéhradecký","CZ052",2019
"2004","1065","Náchod","Královéhradecký","CZ052",2019
"2004","830","Rychnov nad Kněžnou","Královéhradecký","CZ052",2019
"2004","1105","Trutnov","Královéhradecký","CZ052",2019
"2004","986","Chrudim","Pardubický","CZ053",2019
"2004","1478","Pardubice","Pardubický","CZ053",2019
"2004","965","Svitavy","Pardubický","CZ053",2019
"2004","1392","Ústí nad Orlicí","Pardubický","CZ053",2019
"2004","832","Havlíčkův Brod","Kraj Vysočina","CZ061",2019
"2004","1043","Jihlava","Kraj Vysočina","CZ061",2019
"2004","651","Pelhřimov","Kraj Vysočina","CZ061",2019
"2004","1038","Třebíč","Kraj Vysočina","CZ061",2019
"2004","1255","Žďár nad Sázavou","Kraj Vysočina","CZ061",2019
"2004","999","Blansko","Jihomoravský","CZ062",2019
"2004","3603","Brno-město","Jihomoravský","CZ062",2019
"2004","1648","Brno-venkov","Jihomoravský","CZ062",2019
"2004","1170","Břeclav","Jihomoravský","CZ062",2019
"2004","1370","Hodonín","Jihomoravský","CZ062",2019
"2004","847","Vyškov","Jihomoravský","CZ062",2019
"2004","1023","Znojmo","Jihomoravský","CZ062",2019
"2004","385","Jeseník","Olomoucký","CZ071",2019
"2004","2142","Olomouc","Olomoucký","CZ071",2019
"2004","1017","Prostějov","Olomoucký","CZ071",2019
"2004","1217","Přerov","Olomoucký","CZ071",2019
"2004","1152","Šumperk","Olomoucký","CZ071",2019
"2004","966","Kroměříž","Zlínský","CZ072",2019
"2004","1239","Uherské Hradiště","Zlínský","CZ072",2019
"2004","1308","Vsetín","Zlínský","CZ072",2019
"2004","1704","Zlín","Zlínský","CZ072",2019
"2004","996","Bruntál","Moravskoslezský","CZ080",2019
"2004","2091","Frýdek-Místek","Moravskoslezský","CZ080",2019
"2004","2475","Karviná","Moravskoslezský","CZ080",2019
"2004","1538","Nový Jičín","Moravskoslezský","CZ080",2019
"2004","1741","Opava","Moravskoslezský","CZ080",2019
"2004","2980","Ostrava-město","Moravskoslezský","CZ080",2019
"2005","11943","Hlavní město Praha ","Praha","CZ010",2020
"2005","882","Benešov","Středočeský","CZ020",2020
"2005","831","Beroun","Středočeský","CZ020",2020
"2005","1637","Kladno","Středočeský","CZ020",2020
"2005","1024","Kolín","Středočeský","CZ020",2020
"2005","682","Kutná Hora","Středočeský","CZ020",2020
"2005","986","Mělník","Středočeský","CZ020",2020
"2005","1190","Mladá Boleslav","Středočeský","CZ020",2020
"2005","950","Nymburk","Středočeský","CZ020",2020
"2005","1240","Praha-východ","Středočeský","CZ020",2020
"2005","1221","Praha-západ","Středočeský","CZ020",2020
"2005","986","Příbram","Středočeský","CZ020",2020
"2005","484","Rakovník","Středočeský","CZ020",2020
"2005","1791","České Budějovice","Jihočeský","CZ031",2020
"2005","669","Český Krumlov","Jihočeský","CZ031",2020
